STATE_NAME,CENSUS_REGION,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
West Virginia,South,WV,54077,1558642,Preston,1680396246,6692021,648.805,2.584,39.46903,-79.668865
West Virginia,South,WV,54079,1550046,Putnam,895439477,12089756,345.731,4.668,38.510513,-81.906109
West Virginia,South,WV,54081,1550047,Raleigh,1567863565,10337942,605.356,3.992,37.76247,-81.264671
West Virginia,South,WV,54083,1550048,Randolph,2692796426,667359,1039.695,0.258,38.781095,-79.867788
West Virginia,South,WV,54085,1689049,Ritchie,1170648243,4425162,451.99,1.709,39.177112,-81.066317
West Virginia,South,WV,54087,1550050,Roane,1252421740,404682,483.563,0.156,38.743003,-81.354522
West Virginia,South,WV,54089,1557805,Summers,933640350,18767786,360.481,7.246,37.656003,-80.856315
West Virginia,South,WV,54091,1689856,Taylor,447474897,7532814,172.771,2.908,39.332478,-80.046554
West Virginia,South,WV,54093,1689423,Tucker,1085589844,5528969,419.149,2.135,39.111175,-79.559968
West Virginia,South,WV,54095,1678706,Tyler,663797219,11403011,256.294,4.403,39.465634,-80.877219
West Virginia,South,WV,54097,1696800,Upshur,918506870,302706,354.638,0.117,38.902536,-80.231335
West Virginia,South,WV,54099,1550056,Wayne,1310504095,15860709,505.988,6.124,38.145541,-82.419681
West Virginia,South,WV,54101,1550057,Webster,1433474268,7149537,553.468,2.76,38.483459,-80.449052
West Virginia,South,WV,54103,1717836,Wetzel,927380714,8458364,358.064,3.266,39.600601,-80.628157
West Virginia,South,WV,54105,1678877,Wirt,602201123,5839704,232.511,2.255,39.020034,-81.382975
West Virginia,South,WV,54107,1560558,Wood,948609260,27211310,366.26,10.506,39.211575,-81.516253
West Virginia,South,WV,54109,1550061,Wyoming,1293584371,6116690,499.456,2.362,37.603717,-81.548884
Wisconsin,Midwest,WI,55001,1581060,Adams,1672214259,111125783,645.646,42.906,43.973763,-89.767223
Wisconsin,Midwest,WI,55003,1581061,Ashland,2706633881,3230599711,1045.037,1247.342,46.544424,-90.679691
Wisconsin,Midwest,WI,55005,1581062,Barron,2234504467,69971721,862.747,27.016,45.437192,-91.852892
Wisconsin,Midwest,WI,55007,1581063,Bayfield,3827632704,1460277098,1477.857,563.816,46.634199,-91.177282
Wisconsin,Midwest,WI,55009,1581064,Brown,1371953501,222725789,529.714,85.995,44.473961,-87.995926
Wisconsin,Midwest,WI,55011,1581065,Buffalo,1739529869,98310770,671.636,37.958,44.385642,-91.761229
Wisconsin,Midwest,WI,55013,1581066,Burnett,2127856303,151932098,821.57,58.661,45.866878,-92.37574
Wisconsin,Midwest,WI,55015,1581067,Calumet,824227655,204196291,318.236,78.841,44.07841,-88.212132
Wisconsin,Midwest,WI,55017,1581068,Chippewa,2611677493,85230117,1008.374,32.908,45.069092,-91.283505
Wisconsin,Midwest,WI,55019,1581069,Clark,3133349114,23235504,1209.793,8.971,44.739306,-90.609945
Wisconsin,Midwest,WI,55021,1581070,Columbia,1982712008,78845118,765.529,30.442,43.471882,-89.330472
Wisconsin,Midwest,WI,55023,1581071,Crawford,1478002007,73945309,570.66,28.55,43.24991,-90.95123
Wisconsin,Midwest,WI,55025,1581072,Dane,3100836020,106205355,1197.24,41.006,43.067468,-89.417852
Wisconsin,Midwest,WI,55027,1581073,Dodge,2267856727,81402752,875.624,31.43,43.422706,-88.704379
Wisconsin,Midwest,WI,55029,1581074,Door,1248316226,4890604046,481.978,1888.273,45.067811,-87.087936
Wisconsin,Midwest,WI,55031,1581075,Douglas,3377703506,454646995,1304.139,175.54,46.463316,-91.892579
Wisconsin,Midwest,WI,55033,1581076,Dunn,2201761906,35638621,850.105,13.76,44.947741,-91.89772
Wisconsin,Midwest,WI,55035,1581077,Eau Claire,1652356518,18824325,637.978,7.268,44.726355,-91.286414
Wisconsin,Midwest,WI,55037,1581078,Florence,1264416561,24161546,488.194,9.329,45.871865,-88.407234
Wisconsin,Midwest,WI,55039,1581079,Fond du Lac,1863648099,119868027,719.559,46.281,43.754722,-88.493284
Wisconsin,Midwest,WI,55041,1581080,Forest,2626448057,83527545,1014.077,32.25,45.666882,-88.773225
Wisconsin,Midwest,WI,55043,1581081,Grant,2970369851,94553895,1146.866,36.507,42.870028,-90.694229
Wisconsin,Midwest,WI,55045,1581082,Green,1512440778,1315729,583.957,0.508,42.675522,-89.605074
Wisconsin,Midwest,WI,55047,1581083,Green Lake,904775184,79762065,349.336,30.796,43.76141,-88.987228
Wisconsin,Midwest,WI,55049,1581084,Iowa,1975071552,13869435,762.579,5.355,43.001021,-90.133691
Wisconsin,Midwest,WI,55051,1581085,Iron,1963699027,416925960,758.188,160.976,46.32655,-90.261298
Wisconsin,Midwest,WI,55053,1581086,Jackson,2558197992,32502558,987.726,12.549,44.326757,-90.796018
Wisconsin,Midwest,WI,55055,1581087,Jefferson,1441259888,68019805,556.474,26.263,43.013807,-88.773985
Wisconsin,Midwest,WI,55057,1581088,Juneau,1986323386,96099849,766.924,37.104,43.932836,-90.113984
Wisconsin,Midwest,WI,55059,1581089,Kenosha,704495887,1248425314,272.007,482.02,42.579703,-87.424898
Wisconsin,Midwest,WI,55061,1581090,Kewaunee,887017548,1921299524,342.479,741.818,44.500949,-87.161813
Wisconsin,Midwest,WI,55063,1581091,La Crosse,1169855744,73156702,451.684,28.246,43.908222,-91.111758
Wisconsin,Midwest,WI,55065,1581092,Lafayette,1640985379,2539100,633.588,0.98,42.655578,-90.130292
Wisconsin,Midwest,WI,55067,1581093,Langlade,2254951621,44652456,870.642,17.24,45.26217,-89.067549
Wisconsin,Midwest,WI,55069,1581094,Lincoln,2276595100,72516255,878.998,27.999,45.338417,-89.742309
Wisconsin,Midwest,WI,55071,1581095,Manitowoc,1525725020,2343912867,589.086,904.99,44.105108,-87.313828
Wisconsin,Midwest,WI,55073,1581096,Marathon,4001546323,81139027,1545.006,31.328,44.898036,-89.757823
Wisconsin,Midwest,WI,55075,1581097,Marinette,3624365557,390141038,1399.375,150.634,45.346899,-87.991198
Wisconsin,Midwest,WI,55077,1581098,Marquette,1180282667,22675694,455.71,8.755,43.826053,-89.409095
Wisconsin,Midwest,WI,55078,1581099,Menominee,926201064,19038422,357.608,7.351,44.991304,-88.669251
Wisconsin,Midwest,WI,55079,1581100,Milwaukee,625462914,2455428000,241.493,948.046,43.017652,-87.481549
Wisconsin,Midwest,WI,55081,1581101,Monroe,2333276963,18996525,900.883,7.335,43.945175,-90.619969
Wisconsin,Midwest,WI,55083,1581102,Oconto,2584775641,390589597,997.987,150.807,44.996575,-88.206516
Wisconsin,Midwest,WI,55085,1581103,Oneida,2882592594,318608598,1112.975,123.015,45.716198,-89.534988
Wisconsin,Midwest,WI,55087,1581104,Outagamie,1651213442,18270151,637.537,7.054,44.418226,-88.464988
Wisconsin,Midwest,WI,55089,1581105,Ozaukee,603632934,2287299017,233.064,883.131,43.360715,-87.496553
Wisconsin,Midwest,WI,55091,1581106,Pepin,600833944,43282754,231.983,16.712,44.627436,-91.83489
Wisconsin,Midwest,WI,55093,1581107,Pierce,1486004416,46945596,573.75,18.126,44.725336,-92.426279
Wisconsin,Midwest,WI,55095,1581108,Polk,2367154127,109929805,913.963,42.444,45.468654,-92.453736
Wisconsin,Midwest,WI,55097,1581109,Portage,2073848481,56925265,800.717,21.979,44.476246,-89.49807
Wisconsin,Midwest,WI,55099,1581110,Price,3248843270,62246938,1254.385,24.034,45.679072,-90.35965
Wisconsin,Midwest,WI,55101,1581111,Racine,861188661,1190383449,332.507,459.61,42.754075,-87.414676
Wisconsin,Midwest,WI,55103,1581112,Richland,1518123690,8153431,586.151,3.148,43.376199,-90.435693
Wisconsin,Midwest,WI,55105,1581113,Rock,1859980191,20624336,718.142,7.963,42.669878,-89.075281
Wisconsin,Midwest,WI,55107,1581114,Rusk,2366175315,44800464,913.585,17.298,45.472734,-91.136745
Wisconsin,Midwest,WI,55109,1581833,St. Croix,1871193051,34214893,722.472,13.21,45.028959,-92.447284
Wisconsin,Midwest,WI,55111,1581115,Sauk,2152024914,45882328,830.901,17.715,43.427998,-89.943329
Wisconsin,Midwest,WI,55113,1581116,Sawyer,3256417401,240752929,1257.31,92.955,45.864913,-91.14713
Wisconsin,Midwest,WI,55115,1581117,Shawano,2313010859,42509542,893.059,16.413,44.789641,-88.755813
Wisconsin,Midwest,WI,55117,1581118,Sheboygan,1324171516,1968280170,511.266,759.957,43.746002,-87.730546
Wisconsin,Midwest,WI,55119,1581119,Taylor,2524953402,24687551,974.89,9.532,45.211656,-90.504853
Wisconsin,Midwest,WI,55121,1581120,Trempealeau,1898372146,23371274,732.966,9.024,44.30305,-91.358867
Wisconsin,Midwest,WI,55123,1581121,Vernon,2050174070,64297504,791.577,24.825,43.599366,-90.821983
Wisconsin,Midwest,WI,55125,1581122,Vilas,2218601455,417604050,856.607,161.238,46.049848,-89.501254
Wisconsin,Midwest,WI,55127,1581123,Walworth,1438031617,55247150,555.227,21.331,42.66811,-88.541731
Wisconsin,Midwest,WI,55129,1581124,Washburn,2064513295,145566435,797.113,56.204,45.892463,-91.796423
Wisconsin,Midwest,WI,55131,1581125,Washington,1115521201,12998941,430.705,5.019,43.391156,-88.232917
Wisconsin,Midwest,WI,55133,1581126,Waukesha,1423510435,80227746,549.62,30.976,43.019308,-88.306707
Wisconsin,Midwest,WI,55135,1581127,Waupaca,1936563850,45299430,747.712,17.49,44.478004,-88.967005
Wisconsin,Midwest,WI,55137,1581128,Waushara,1621804760,29076008,626.182,11.226,44.112825,-89.239752
Wisconsin,Midwest,WI,55139,1581129,Winnebago,1125316313,373176297,434.487,144.084,44.085707,-88.668149
Wisconsin,Midwest,WI,55141,1581130,Wood,2054062243,42280557,793.078,16.325,44.461413,-90.038825
Wyoming,West,WY,56001,1605066,Albany,11070466417,89161356,4274.331,34.425,41.665514,-105.721883
Wyoming,West,WY,56003,1605067,Big Horn,8125208405,56419996,3137.161,21.784,44.525117,-107.994848
Wyoming,West,WY,56005,1605068,Campbell,12438694466,10357543,4802.607,3.999,44.191999,-105.517014
Wyoming,West,WY,56007,1605069,Carbon,20454562405,172002709,7897.551,66.411,41.70359,-106.933153
Wyoming,West,WY,56009,1605070,Converse,11020068512,26384800,4254.872,10.187,42.974898,-105.505917
Wyoming,West,WY,56011,1605071,Crook,7393018547,28187920,2854.461,10.883,44.589266,-104.567298
Wyoming,West,WY,56013,1605072,Fremont,23786070473,212130290,9183.854,81.904,43.054831,-108.608935
Wyoming,West,WY,56015,1605073,Goshen,5763721429,17581146,2225.385,6.788,42.08958,-104.353482
Wyoming,West,WY,56017,1605074,Hot Springs,5190598718,5964316,2004.101,2.303,43.720209,-108.435076
Wyoming,West,WY,56019,1609191,Johnson,10759203327,52947574,4154.152,20.443,44.044048,-106.588541
Wyoming,West,WY,56021,1605075,Laramie,6956499720,4269804,2685.92,1.649,41.29283,-104.660395
Wyoming,West,WY,56023,1605076,Lincoln,10557008234,49925245,4076.084,19.276,42.229993,-110.682961
Wyoming,West,WY,56025,1605077,Natrona,13831870984,91060297,5340.515,35.159,42.973602,-106.76507
