ZIP,CENSUS_REGION,STATE_NAME,CITY_NAME,STATE,LAT,LONG,COUNTY
01244,Northeast,Massachusetts,MILL RIVER,MA,42.113889,73.268056,BERKSHIRE
01245,Northeast,Massachusetts,MONTEREY,MA,42.187847,73.213452,BERKSHIRE
01247,Northeast,Massachusetts,NORTH ADAMS,MA,42.69865,73.10999,BERKSHIRE
01252,Northeast,Massachusetts,NORTH EGREMONT,MA,42.196667,73.438333,BERKSHIRE
01253,Northeast,Massachusetts,OTIS,MA,42.18988,73.082093,BERKSHIRE
01254,Northeast,Massachusetts,RICHMOND,MA,42.378398,73.364457,BERKSHIRE
01255,Northeast,Massachusetts,SANDISFIELD,MA,42.109429,73.116285,BERKSHIRE
01256,Northeast,Massachusetts,SAVOY,MA,42.576964,73.023281,BERKSHIRE
01257,Northeast,Massachusetts,SHEFFIELD,MA,42.100102,73.361091,BERKSHIRE
01258,Northeast,Massachusetts,SOUTH EGREMONT,MA,42.101153,73.456575,BERKSHIRE
01259,Northeast,Massachusetts,SOUTHFIELD,MA,42.078014,73.260933,BERKSHIRE
01260,Northeast,Massachusetts,SOUTH LEE,MA,42.277778,73.277778,BERKSHIRE
01262,Northeast,Massachusetts,STOCKBRIDGE,MA,42.30104,73.322263,BERKSHIRE
01263,Northeast,Massachusetts,STOCKBRIDGE,MA,42.2875,73.320833,BERKSHIRE
01264,Northeast,Massachusetts,TYRINGHAM,MA,42.245833,73.204167,BERKSHIRE
01266,Northeast,Massachusetts,WEST STOCKBRIDGE,MA,42.334752,73.38251,BERKSHIRE
01267,Northeast,Massachusetts,WILLIAMSTOWN,MA,42.708883,73.20364,BERKSHIRE
01270,Northeast,Massachusetts,WINDSOR,MA,42.509494,73.04661,BERKSHIRE
01301,Northeast,Massachusetts,GREENFIELD,MA,42.601222,72.601847,FRANKLIN
01302,Northeast,Massachusetts,GREENFIELD,MA,42.5875,72.6,FRANKLIN
01330,Northeast,Massachusetts,ASHFIELD,MA,42.523207,72.810998,FRANKLIN
01331,Northeast,Massachusetts,ATHOL,MA,42.592065,72.214644,WORCESTER
01337,Northeast,Massachusetts,BERNARDSTON,MA,42.683784,72.563439,FRANKLIN
